,Month,Year,Rainfall,WPI
count,81.0,81.0,81.0,81.0
mean,6.666666666666667,2015.111111111111,97.57160493827162,163.1074074074074
std,3.420526275297414,1.9621416870348585,92.68048100135205,46.10006718481486
min,1.0,2012.0,6.7,112.5
25%,4.0,2013.0,22.8,119.0
50%,7.0,2015.0,57.8,141.7
75%,10.0,2017.0,171.5,205.5
max,12.0,2018.0,310.0,260.4
