,Month,Year,Rainfall,WPI
count,81.0,81.0,81.0,81.0
mean,6.666666666666667,2015.111111111111,97.57160493827162,134.63950617283953
std,3.420526275297414,1.9621416870348585,92.68048100135205,12.656763794631171
min,1.0,2012.0,6.7,115.9
25%,4.0,2013.0,22.8,122.3
50%,7.0,2015.0,57.8,135.3
75%,10.0,2017.0,171.5,143.8
max,12.0,2018.0,310.0,163.2
