,Month,Year,Rainfall,WPI
count,81.0,81.0,81.0,81.0
mean,6.666666666666667,2015.111111111111,97.57160493827162,180.8975308641975
std,3.420526275297414,1.9621416870348585,92.68048100135205,35.92920460888552
min,1.0,2012.0,6.7,107.2
25%,4.0,2013.0,22.8,159.7
50%,7.0,2015.0,57.8,167.3
75%,10.0,2017.0,171.5,211.4
max,12.0,2018.0,310.0,261.9
