,Month,Year,Rainfall,WPI
count,81.0,81.0,81.0,81.0
mean,6.666666666666667,2015.111111111111,97.57160493827162,116.93827160493827
std,3.420526275297414,1.9621416870348585,92.68048100135205,14.722844221661408
min,1.0,2012.0,6.7,92.3
25%,4.0,2013.0,22.8,108.2
50%,7.0,2015.0,57.8,113.9
75%,10.0,2017.0,171.5,126.0
max,12.0,2018.0,310.0,155.5
